2025-04-23 12:35:12,967 | dominant | INFO || [GPU MEM CHECK] Free memory per GPU: [20660, 22853, 22295, 24108, 24108, 24108, 24108, 24108]
2025-04-23 12:35:13,391 | dominant | INFO || [INFO] Using GPU 3 with 24108 MB free.
2025-04-23 12:35:13,393 | dominant | INFO || Running DOMINANT on books...
2025-04-23 12:35:22,820 | dominant | INFO || Best params for DOMINANT on books: {'hid_dim': 128, 'num_layers': 5, 'dropout': 0.06301443832470005, 'lr': 0.0027242054402901628, 'weight': 0.7001027993553233}
2025-04-23 12:35:49,536 | dominant | INFO || Summary for DOMINANT on books:
2025-04-23 12:35:49,537 | dominant | INFO || AUC-ROC (mean±std): 0.4769 ± 0.0360
2025-04-23 12:35:49,538 | dominant | INFO || AP (mean±std): 0.0244 ± 0.0104
2025-04-23 12:35:49,538 | dominant | INFO || F1 (mean±std): 0.0235 ± 0.0166
2025-04-23 12:35:49,539 | dominant | INFO || Mean ± Std (DOMINANT on books):
2025-04-23 12:35:49,540 | dominant | INFO || AUC-ROC (mean±std): 0.4769 ± 0.0360
2025-04-23 12:35:49,540 | dominant | INFO || AP (mean±std): 0.0244 ± 0.0104
2025-04-23 12:35:49,540 | dominant | INFO || F1 (mean±std): 0.0235 ± 0.0166
2025-04-23 12:35:49,541 | dominant | INFO || Running DOMINANT on disney...
2025-04-23 12:35:55,279 | dominant | INFO || Best params for DOMINANT on disney: {'hid_dim': 32, 'num_layers': 5, 'dropout': 0.2219859841942718, 'lr': 0.0037814133558037055, 'weight': 0.7132597566481722}
2025-04-23 12:36:14,463 | dominant | INFO || Summary for DOMINANT on disney:
2025-04-23 12:36:14,464 | dominant | INFO || AUC-ROC (mean±std): 0.4018 ± 0.0908
2025-04-23 12:36:14,464 | dominant | INFO || AP (mean±std): 0.0476 ± 0.0088
2025-04-23 12:36:14,465 | dominant | INFO || F1 (mean±std): 0.0211 ± 0.0421
2025-04-23 12:36:14,466 | dominant | INFO || Mean ± Std (DOMINANT on disney):
2025-04-23 12:36:14,466 | dominant | INFO || AUC-ROC (mean±std): 0.4018 ± 0.0908
2025-04-23 12:36:14,467 | dominant | INFO || AP (mean±std): 0.0476 ± 0.0088
2025-04-23 12:36:14,467 | dominant | INFO || F1 (mean±std): 0.0211 ± 0.0421
2025-04-23 12:36:14,467 | dominant | INFO || Running DOMINANT on gen_500...
